-0.23028	-0.20809	15.54734
-0.03198	-0.12800	17.23471
-0.04056	-0.02972	19.78121
0.02820	-0.20586	20.63537
-0.03646	0.15004	30.48526
-0.07508	-0.16904	15.41658
-0.03845	-0.00485	21.08549
-0.02715	-0.00236	21.72036
-0.20578	-0.08484	15.54615
-0.05405	-0.12188	16.39329
-0.04768	0.05194	23.93939
-0.06745	0.10305	26.39589
-0.05720	-0.11836	16.32642
-0.12635	-0.12723	14.44432
0.03560	-0.08296	21.73083
-0.00546	-0.09419	19.14171
-0.08733	-0.13199	15.17145
0.00000	0.00000	23.19395
-0.18007	-0.07519	15.48401
0.00000	0.00000	23.19395
-0.18089	-0.19852	14.46947
-0.11720	-0.21935	15.11410
-0.14732	-0.07444	15.43827
-0.08224	-0.07567	16.50230
-0.08356	-0.15959	15.13945
-0.06054	-0.14457	15.92558
0.00000	0.00000	23.19395
-0.01699	-0.08423	18.82650
-0.02626	-0.22638	18.21905
0.10484	0.10410	35.73223
0.00273	0.07557	27.78917
0.00071	-0.00207	23.12285
-0.19318	0.06448	22.62023
0.10484	0.10410	35.73223
-0.02009	-0.05689	19.57849
-0.15385	-0.06451	15.75005
-0.04289	-0.02466	19.91736
-0.09842	-0.06069	16.58611
-0.01398	-0.04830	20.21144
0.04971	-0.03892	24.16869
-0.11721	0.03662	21.01907
-0.15544	-0.08959	14.97495
-0.10092	0.10088	25.31244
-0.06316	-0.05031	18.01988
0.06317	0.13533	35.05147
-0.05993	-0.19393	16.16032
0.06981	0.01176	27.91968
0.05725	0.05143	29.45963
-0.06057	-0.03614	18.70423
0.02820	-0.20586	20.63537
-0.03047	0.05222	24.69516
0.01887	-0.00034	24.20982
-0.03646	0.02812	22.98956
0.01239	-0.06309	21.03893
0.04112	0.03784	27.65981
-0.03129	-0.17851	17.16420
-0.01239	-0.04705	20.34104
0.00983	-0.14067	19.21406
-0.08243	-0.11580	15.52856
-0.08832	-0.07556	16.33569
0.02144	0.01233	25.04131
-0.06164	-0.08017	17.03569
-0.02641	0.01950	22.94787
-0.09360	-0.16341	14.87542
0.00492	-0.07034	20.38163
-0.03364	-0.05976	18.84415
0.09693	0.03930	31.21135
-0.02198	-0.04488	19.96171
-0.03047	0.05222	24.69516
0.00260	-0.04498	21.20203
0.05608	0.04750	29.14886
-0.04931	-0.01583	20.07937
0.00703	-0.00588	23.26361
-0.13889	-0.13484	14.23491
-0.08737	0.06530	23.41345
-0.01495	-0.01787	21.52009
-0.07899	-0.04682	17.63956
0.04110	0.01817	26.51786
0.00492	-0.07034	20.38163
0.09693	0.03930	31.21135
-0.02736	-0.06304	19.01040
-0.10510	-0.25337	16.34805
-0.24635	-0.11456	15.92728
0.07162	0.00115	27.45795
-0.04019	-0.06784	18.27321
-0.03253	-0.25780	18.92918
-0.01471	0.04178	24.81065
-0.05405	-0.12188	16.39329
-0.08522	-0.16121	15.09391
-0.03253	-0.25780	18.92918
-0.03635	-0.06448	18.55512
-0.01776	-0.03692	20.50226
-0.02736	-0.06304	19.01040
-0.01405	0.01176	23.10912
0.01077	0.00609	24.10093
-0.07646	-0.01819	18.99838
0.00167	0.00294	23.43894
0.00260	-0.04498	21.20203
-0.09173	-0.24904	16.50717
-0.17390	-0.16121	14.09996
